0.5p	1	"C56"	0402_NP0_B_50
12p	2	"C57 C58"	0402_NP0_J_50
15p	2	"C51 C52"	0402_NP0_J_50
47p	2	"C54 C55"	0402_NP0_J_50
1n	1	"C59"	0402_NP0_J_50
1.5nF	1	"C13"	0805
4.7nF	17	"C1 C4 C5 C6 C9 C10 C14 C15 C23 C24 C27 C28 C29 C30 C31 C32 C33"	0603_X7R_50
0.01uF	1	"C42"	0805
0.1uF	5	"C3 C8 C12 C18 C21"	0603_X7R_50
1u	9	"C43 C44 C45 C46 C47 C48 C49 C50 C53"	0402_X5R_K_6P3
1uF	12	"C2 C7 C11 C17 C19 C20 C25 C26 C34 C35 C36 C37"	0603_X5R_25
1uF	2	"C38 C41"	0805
2.2uF	2	"C39 C40"	0805
10uF	1	"C22"	0805_X5R_10
100uF	1	"C16"	1210_X5R_10
LED_EL19-21SURC	1	"D1"	0603
LED_EL19-21SYGC	1	"D2"	0603
JUMPER	1	"JP1"	2x1 0.1"
EMI	1	"L1"	0402
CONN_2	1	"P1"	2x1 0.1"
CONN_3	1	"P6"	3x1 0.1"
USB-MINI-B	1	"P3"	47346-0001
CONN_5X2	1	"P5"	5x2 0.1"
CONN_8	2	"P2 P4"	8x1 0.1"
0	1	"R21"	0402
33	2	"R23 R24"	0402_G
270	2	"R25 R26"	0402_F
2.2k	1	"R27"	0402_G
4.99K	18	"R2 R3 R4 R5 R6 R7 R8 R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20"	0603
10K	1	"R1"	0603
56k	1	"R22"	0402_F
1M	1	"R9"	0805
SWITCH_INV	1	"SW1"	SSSS810701
RESET	1	"SW2"	Thru 1825910
SW_PUSH	2	"SW3 SW4"	Thru 1825910
2.5V	1	"TP2"	Meas_Pt
3.3V	1	"TP1"	Meas_Pt
-3.3V	1	"TP3"	Meas_Pt
-2.5V	1	"TP4"	Meas_Pt
2450BM15A0002E	1	"U7"	2450BM15A0002E
LM2664	1	"U4"	SOT23-6
ADS1299IPAGR	1	"U1"	TQFP64
TLV70033	1	"U2"	TSOT23-5
TLV70025	1	"U3"	TSOT23-5
TPS72325	1	"U5"	TSOT23-5
CC2540	1	"U6"	VQFN40
32-MHz	1	"X2"	10/20/60/10
32-KHz	1	"X1"	~
